account,symbol,execution_price,size,side,time,start_position,event,closedPnL,leverage
0x2c4ac55a583,BTC,27827.66,123.9807,Sell,2023-01-01 18:55:44,Short,TRADE,1.1937,5.0
0x236c14d0687,BTC,30601.24,27.9848,Buy,2023-01-01 19:39:25,,TRADE,6.4839,9.0
0xdd54dab311,BTC,44308.08,115.9298,Buy,2023-01-01 20:23:06,Short,TRADE,-36.0192,4.6
0x39ef42a6957,ETH,1806.05,547.8912,Sell,2023-01-01 21:06:47,Long,TRADE,-6.2473,6.5
0xf0ca0a4920,ARB,30910.94,70.1832,Buy,2023-01-01 21:50:28,Long,TRADE,16.1036,6.1
0x2e70c481974,MATIC,45375.46,16.3008,Buy,2023-01-01 22:34:09,Long,TRADE,6.5783,20.5
0x2725143b245,AVAX,26010.89,16.5808,Buy,2023-01-01 23:17:50,Long,TRADE,9.2201,10.2
0x724f640674,DOGE,27499.58,341.696,Sell,2023-01-02 00:01:31,Short,TRADE,-7.0438,11.2
0x29679732463,BTC,48675.09,58.9817,Sell,2023-01-02 00:45:12,Short,FUNDING,-13.9529,6.0
0x38f01992413,ARB,27849.44,86.6479,Sell,2023-01-02 01:28:53,Short,TRADE,3.2071,6.1
0x3362fd5c550,ETH,38726.71,131.0782,Sell,2023-01-02 02:12:34,Long,TRADE,-4.9515,4.5
0x29a658bd659,DOGE,46141.9,4.0298,Buy,2023-01-02 02:56:14,Short,TRADE,-17.2406,21.2
0x29679732463,AVAX,51681.38,312.8023,Buy,2023-01-02 03:39:55,Long,TRADE,1.7551,10.2
0x34986477756,ETH,43035.42,787.5096,Sell,2023-01-02 04:23:36,Long,TRADE,24.315,12.8
0x1524aa87201,ARB,7838.98,55.1604,Buy,2023-01-02 05:07:17,Short,TRADE,-38.9264,10.8
0x10b23028789,SOL,43388.5,78.0686,Sell,2023-01-02 05:50:58,Short,TRADE,-6.0068,4.3
0xe61126f900,SOL,2165.43,209.2722,Buy,2023-01-02 06:34:39,Short,TRADE,2.0679,16.4
0x16460d12139,BTC,44905.7,51.2347,Sell,2023-01-02 07:18:20,Long,TRADE,-25.6153,4.8
0x24589a0d940,BTC,21095.71,333.1882,Sell,2023-01-02 08:02:01,Short,TRADE,-7.23,4.1
0x18ba919d427,ETH,15079.71,166.8554,Sell,2023-01-02 08:45:42,Long,TRADE,22.7143,7.0
0x1419f8b2732,BTC,55214.26,407.5059,Sell,2023-01-02 09:29:23,Long,LIQUIDATION,-10.1693,3.7
0x25632813245,BTC,55304.45,22.2559,Buy,2023-01-02 10:13:04,Short,TRADE,-23.4373,4.7
0x10b23028789,SOL,16969.79,137.6057,Buy,2023-01-02 10:56:45,Long,TRADE,0.6473,8.3
0x220cf166832,ETH,32754.36,147.9861,Sell,2023-01-02 11:40:26,,TRADE,-14.4165,25.4
0xfaf14ff612,BTC,22047.68,210.9296,Sell,2023-01-02 12:24:07,Short,TRADE,13.889,8.0
0xba60287269,BTC,7786.3,77.2137,Buy,2023-01-02 13:07:48,,TRADE,17.6809,10.9
0x135af16d669,SOL,23252.32,29.8535,Sell,2023-01-02 13:51:29,Short,TRADE,-26.7291,4.7
0x259b4b1c396,BTC,41716.4,15.324,Sell,2023-01-02 14:35:10,,TRADE,35.6372,6.9
0x399c1465206,ETH,6566.05,46.8068,Sell,2023-01-02 15:18:51,Long,TRADE,-15.5857,2.3
0x303c8ac5542,SOL,17579.3,41.9746,Buy,2023-01-02 16:02:32,,TRADE,-10.8553,3.1
0x7724a7b267,BTC,7523.21,54.2482,Buy,2023-01-02 16:46:12,Short,TRADE,37.0913,8.9
0x1e86d761615,ETH,6036.21,71.7813,Sell,2023-01-02 17:29:53,Long,TRADE,15.3905,7.2
0xbcdf5b9960,SOL,4430.38,19.3639,Buy,2023-01-02 18:13:34,Long,TRADE,-24.3296,7.1
0x275aafa4549,ETH,24744.23,26.2028,Buy,2023-01-02 18:57:15,Short,TRADE,-7.5866,5.5
0x27d8c51c188,BTC,40617.6,51.8336,Sell,2023-01-02 19:40:56,Short,TRADE,9.1779,12.9
0x161b2a7f463,BTC,26382.53,145.5018,Sell,2023-01-02 20:24:37,Short,TRADE,22.4714,8.0
0x1f612afb952,ARB,15728.51,41.3829,Buy,2023-01-02 21:08:18,Short,TRADE,-11.7729,2.4
0x724f640674,BTC,44223.65,144.4215,Sell,2023-01-02 21:51:59,Long,TRADE,-1.7554,2.4
0x236c14d0687,ETH,19363.27,718.2692,Sell,2023-01-02 22:35:40,Long,TRADE,19.3372,6.5
0x1e9090d7766,ETH,3177.31,87.0873,Sell,2023-01-02 23:19:21,Short,LIQUIDATION,6.3828,5.4
0xdd54dab311,AVAX,2596.33,636.7639,Buy,2023-01-03 00:03:02,Short,TRADE,-2.3751,6.7
0x2b41dcd7587,BTC,52047.46,375.2931,Sell,2023-01-03 00:46:43,Short,TRADE,-7.1532,5.1
0x1536773b121,BTC,2529.82,170.722,Sell,2023-01-03 01:30:24,Long,TRADE,9.1166,13.7
0x32b19c70466,BTC,15476.11,50.7031,Sell,2023-01-03 02:14:05,Long,TRADE,-28.8281,4.2
0x16b9968b991,BTC,20210.37,67.5989,Buy,2023-01-03 02:57:46,Short,TRADE,-3.6631,5.9
0x268bad0f586,ETH,19955.82,266.9165,Sell,2023-01-03 03:41:27,Long,TRADE,2.463,9.2
0xc8ff9f9490,ETH,49866.81,97.3029,Sell,2023-01-03 04:25:08,Short,TRADE,-9.1236,19.2
0x1e604bfb894,SOL,24118.62,900.2172,Sell,2023-01-03 05:08:49,Short,TRADE,6.8845,5.6
0x14058da4819,ARB,45631.42,61.4594,Sell,2023-01-03 05:52:29,Short,FUNDING,-8.6711,12.3
0x373eaca8390,DOGE,4957.7,77.5798,Sell,2023-01-03 06:36:10,Long,TRADE,4.1651,2.5
0x2cfac714738,BTC,47961.39,861.4364,Buy,2023-01-03 07:19:51,Short,TRADE,-13.9533,8.3
0x1cdd7c67738,BTC,25151.42,26.9898,Buy,2023-01-03 08:03:32,Short,TRADE,3.5287,24.7
0x1f5ee475551,BTC,22506.85,1068.9265,Buy,2023-01-03 08:47:13,Short,FUNDING,-7.2968,4.1
0xc8ff9f9490,ETH,29343.54,6.64,Buy,2023-01-03 09:30:54,Short,LIQUIDATION,-5.1264,7.5
0x29f6e323895,ETH,29381.61,32.4725,Buy,2023-01-03 10:14:35,Short,TRADE,3.3352,10.1
0x2b502e25646,AVAX,56840.35,23.2686,Buy,2023-01-03 10:58:16,Short,TRADE,-19.0737,5.7
0x34c1bb7b644,ARB,29387.46,12.1079,Sell,2023-01-03 11:41:57,Long,TRADE,-11.217,3.5
0xf32ed6e563,AVAX,9478.78,39.3429,Sell,2023-01-03 12:25:38,Short,TRADE,-25.0286,8.8
0x617a000374,ETH,5165.73,51.7696,Sell,2023-01-03 13:09:19,Long,TRADE,-16.2455,4.7
0x179d765c716,ETH,33379.13,112.1809,Sell,2023-01-03 13:53:00,Long,TRADE,-36.4006,9.3
0x37550a89430,ETH,50921.27,7.4401,Sell,2023-01-03 14:36:41,Long,TRADE,12.0633,4.7
0x13c35cc9821,SOL,18966.63,780.3411,Sell,2023-01-03 15:20:22,Long,TRADE,18.9723,6.0
0x39503642587,DOGE,49527.23,45.9254,Sell,2023-01-03 16:04:03,Short,TRADE,-39.7582,4.3
0xe51fff8866,ETH,19139.35,115.7981,Sell,2023-01-03 16:47:44,Long,TRADE,31.7187,5.0
0x1a6c2c25836,MATIC,32831.39,43.0559,Buy,2023-01-03 17:31:25,Long,TRADE,33.0496,18.9
0x299c6894419,AVAX,48792.02,90.4839,Sell,2023-01-03 18:15:06,,TRADE,-29.098,3.8
0x15c8b5ad266,ARB,22735.01,123.7561,Buy,2023-01-03 18:58:46,Short,TRADE,-4.7684,4.1
0x29910ea5550,ETH,19924.7,202.686,Buy,2023-01-03 19:42:27,,TRADE,27.0627,4.7
0x1a0f3a49162,ARB,4555.03,10.9674,Sell,2023-01-03 20:26:08,Long,LIQUIDATION,-38.4189,12.8
0x2026823a930,BTC,55510.64,778.7043,Sell,2023-01-03 21:09:49,,FUNDING,5.6347,6.2
0x16b9968b991,ETH,59140.6,4.3549,Sell,2023-01-03 21:53:30,Long,TRADE,29.3704,3.9
0x25eb358d415,DOGE,35460.71,120.9242,Sell,2023-01-03 22:37:11,Long,TRADE,-1.9244,9.2
0x15c8b5ad266,ETH,49072.67,126.9212,Buy,2023-01-03 23:20:52,Short,TRADE,-7.3039,16.4
0xbcdf5b9960,AVAX,37288.77,38.3028,Sell,2023-01-04 00:04:33,Short,TRADE,-4.8742,17.9
0xe61126f900,BTC,19391.63,78.313,Sell,2023-01-04 00:48:14,Long,TRADE,-1.1956,30.5
0x617a000374,SOL,19897.04,113.5967,Sell,2023-01-04 01:31:55,Short,TRADE,-9.659,7.3
0x1f5ee475551,MATIC,42464.11,31.6809,Buy,2023-01-04 02:15:36,Long,TRADE,13.7517,7.5
0x344a4a76496,BTC,40824.59,3.4851,Sell,2023-01-04 02:59:17,Long,TRADE,20.3234,7.2
0x157aa984373,DOGE,59190.74,50.6037,Buy,2023-01-04 03:42:58,Long,TRADE,-31.5063,7.2
0x17a4a8e3336,SOL,2333.74,856.6485,Sell,2023-01-04 04:26:39,Long,TRADE,14.7007,5.7
0x1338b630276,AVAX,44388.33,25.2648,Sell,2023-01-04 05:10:20,Long,TRADE,-22.5909,8.4
0x1e2ab9bd861,ETH,33213.8,46.0696,Sell,2023-01-04 05:54:01,Short,TRADE,-1.8544,5.1
0xfaf14ff612,BTC,49034.16,49.6851,Sell,2023-01-04 06:37:42,Short,TRADE,-14.0522,13.3
0x30d90c2f866,BTC,903.58,49.4988,Buy,2023-01-04 07:21:23,Short,TRADE,-7.6788,10.0
0x34c1bb7b644,BTC,43549.35,14.2624,Buy,2023-01-04 08:05:04,Short,TRADE,23.2968,3.8
0x2309bb78553,MATIC,13529.84,242.7238,Sell,2023-01-04 08:48:44,Short,TRADE,11.6383,7.2
0x2b41dcd7587,BTC,30835.87,131.0773,Sell,2023-01-04 09:32:25,Long,TRADE,23.3427,5.8
0xdd54dab311,MATIC,42557.51,61.4852,Sell,2023-01-04 10:16:06,Short,TRADE,-14.872,4.7
0xc1f22ef193,SOL,48349.34,21.5595,Buy,2023-01-04 10:59:47,Long,TRADE,16.7768,6.6
0x16b9968b991,ETH,44219.35,40.0338,Buy,2023-01-04 11:43:28,Short,TRADE,24.6594,3.3
0x39503642587,BTC,48583.62,160.518,Buy,2023-01-04 12:27:09,Short,TRADE,0.9355,3.6
0x33f3dffb169,ETH,432.63,142.1681,Buy,2023-01-04 13:10:50,Short,TRADE,-12.7865,5.7
0x34996f51679,ETH,24932.43,80.9196,Sell,2023-01-04 13:54:31,Long,TRADE,-3.0346,7.3
0xe61126f900,ARB,3874.04,166.4861,Sell,2023-01-04 14:38:12,Long,TRADE,-18.1315,4.2
0x96fb014740,BTC,38418.84,1039.0967,Sell,2023-01-04 15:21:53,Long,TRADE,-5.0284,2.5
0x26835a11623,ETH,14681.16,337.6777,Sell,2023-01-04 16:05:34,Short,TRADE,-5.3037,6.8
0x29f6e323895,BTC,828.7,19.0231,Sell,2023-01-04 16:49:15,Short,TRADE,-30.3843,7.7
0x7724a7b267,ETH,2689.07,684.5088,Buy,2023-01-04 17:32:56,Long,TRADE,-8.4135,5.1
0x373d8de7715,ETH,9805.58,66.8909,Sell,2023-01-04 18:16:37,Long,TRADE,-13.3198,5.0
0x30d90c2f866,SOL,22819.93,222.152,Buy,2023-01-04 19:00:18,Long,TRADE,14.4659,9.5
0x32090ed7766,ETH,34110.67,63.2899,Buy,2023-01-04 19:43:59,Short,TRADE,17.7535,3.4
0xfaf14ff612,MATIC,32759.72,10.803,Sell,2023-01-04 20:27:40,Long,LIQUIDATION,-30.9953,6.0
0x2fd8183d373,ARB,48888.59,118.1872,Buy,2023-01-04 21:11:21,Short,TRADE,32.268,32.1
0x225b09fc503,ETH,20221.21,454.7299,Buy,2023-01-04 21:55:01,Short,TRADE,9.7361,18.0
0x9889e82355,BTC,14680.56,26.9433,Sell,2023-01-04 22:38:42,Long,TRADE,19.5745,3.3
0x399c1465206,BTC,45896.84,53.9363,Sell,2023-01-04 23:22:23,Long,TRADE,8.4343,2.4
0x2309bb78553,SOL,25281.78,1049.1191,Sell,2023-01-05 00:06:04,Long,TRADE,-3.4984,6.3
0x327fea67974,MATIC,55472.89,420.5793,Sell,2023-01-05 00:49:45,Long,TRADE,-20.7913,5.1
0x31d26d1b803,ETH,21651.05,263.1183,Buy,2023-01-05 01:33:26,Short,TRADE,-9.108,3.6
0x17a4a8e3336,SOL,35209.83,203.3621,Buy,2023-01-05 02:17:07,Long,TRADE,-13.1551,4.7
0x259b4b1c396,SOL,45478.22,128.3277,Sell,2023-01-05 03:00:48,Short,TRADE,-16.511,12.9
0xa96dcba112,SOL,36829.25,31.2398,Sell,2023-01-05 03:44:29,Short,TRADE,-3.5305,6.1
0x34986477756,SOL,59498.22,48.2258,Buy,2023-01-05 04:28:10,Short,TRADE,10.0249,12.6
0x293bca6e135,ARB,21363.09,438.1267,Sell,2023-01-05 05:11:51,Short,TRADE,25.7295,3.3
0x16f6093c963,BTC,3951.23,74.1861,Sell,2023-01-05 05:55:32,Long,LIQUIDATION,20.6386,10.4
0x724f640674,BTC,23277.34,10.6572,Sell,2023-01-05 06:39:13,,TRADE,11.4805,3.7
0x25632813245,BTC,8419.89,101.726,Buy,2023-01-05 07:22:54,,TRADE,9.0174,11.2
0xed66776264,BTC,5995.18,8.529,Buy,2023-01-05 08:06:35,Short,TRADE,-0.2698,10.7
0x1765b3e9428,ETH,48905.06,38.6792,Sell,2023-01-05 08:50:16,Short,TRADE,0.8861,3.7
0xc7c7b9b250,BTC,19841.57,11.1035,Buy,2023-01-05 09:33:57,Long,TRADE,-24.3408,21.0
0x373eaca8390,ETH,18066.28,89.2655,Sell,2023-01-05 10:17:38,Long,TRADE,-24.1085,6.7
0x1524aa87201,BTC,12244.18,121.196,Buy,2023-01-05 11:01:19,Long,TRADE,-9.5833,9.7
0x39503642587,ETH,58656.48,531.5877,Buy,2023-01-05 11:44:59,Short,TRADE,-18.9128,14.6
0x1d00ef95583,BTC,9299.92,180.2338,Buy,2023-01-05 12:28:40,Short,LIQUIDATION,15.1424,4.9
0x33b67b23347,ARB,42355.11,50.1355,Sell,2023-01-05 13:12:21,Short,TRADE,19.1423,6.2
0x373d8de7715,BTC,9416.81,30.107,Buy,2023-01-05 13:56:02,Short,TRADE,-22.1535,12.8
0x17a4a8e3336,ETH,30003.16,154.3811,Sell,2023-01-05 14:39:43,,TRADE,13.7874,9.6
0x1b1b4437537,ETH,31992.33,11.8328,Sell,2023-01-05 15:23:24,Long,TRADE,-10.7044,3.7
0x1d00ef95583,ETH,50497.4,554.6329,Sell,2023-01-05 16:07:05,Short,TRADE,-4.2786,7.1
0x2e70c481974,ARB,27483.98,150.1111,Buy,2023-01-05 16:50:46,Short,TRADE,-47.879,3.6
0x2effaaee209,MATIC,49356.39,22.0253,Sell,2023-01-05 17:34:27,Short,TRADE,-57.9582,2.6
0x1a6c2c25836,ETH,17071.45,33.9048,Sell,2023-01-05 18:18:08,Long,TRADE,-1.0204,5.6
0x327b6a05586,BTC,11795.6,47.7853,Sell,2023-01-05 19:01:49,Long,TRADE,12.3983,7.0
0x18ba919d427,BTC,52874.17,80.7617,Buy,2023-01-05 19:45:30,Short,LIQUIDATION,13.2731,6.7
0x19fae8b1984,BTC,12389.18,129.1411,Sell,2023-01-05 20:29:11,Short,TRADE,-14.3514,6.2
0x30d083e7480,ARB,44917.7,65.0811,Buy,2023-01-05 21:12:52,Long,TRADE,19.85,14.8
0x25632813245,BTC,5647.99,133.1508,Sell,2023-01-05 21:56:33,Short,TRADE,1.5523,13.1
0x376b7156253,DOGE,17206.82,51.2555,Sell,2023-01-05 22:40:14,Short,TRADE,13.7163,4.0
0x29ccd8d4268,SOL,7482.05,508.5286,Buy,2023-01-05 23:23:55,Short,TRADE,38.5175,10.5
0x13c35cc9821,SOL,24358.94,225.4932,Buy,2023-01-06 00:07:36,Short,TRADE,14.6922,18.7
0x2903fb12447,ETH,45736.69,334.1077,Sell,2023-01-06 00:51:16,Long,TRADE,-13.9098,14.6
0x1e2ab9bd861,BTC,41382.58,139.3264,Sell,2023-01-06 01:34:57,Long,TRADE,-10.896,10.0
0x2b502e25646,ETH,14105.34,366.7218,Sell,2023-01-06 02:18:38,,TRADE,-41.3907,11.4
0x2903fb12447,BTC,31281.81,7.0462,Sell,2023-01-06 03:02:19,Short,LIQUIDATION,-19.5357,3.2
0x2309bb78553,ARB,27858.52,88.1152,Buy,2023-01-06 03:46:00,Long,TRADE,-13.2015,3.7
0xe7803c4817,BTC,44752.69,548.6974,Buy,2023-01-06 04:29:41,Long,TRADE,-21.9206,5.2
0x2cab7e80292,ETH,4183.7,302.0571,Sell,2023-01-06 05:13:22,Short,LIQUIDATION,37.557,7.0
0x13500e35426,ETH,44526.13,187.9113,Sell,2023-01-06 05:57:03,Short,TRADE,29.5509,6.3
0x1524aa87201,AVAX,12244.52,39.1726,Buy,2023-01-06 06:40:44,Short,TRADE,11.1227,9.5
0x1888b994109,ETH,39605.9,204.9524,Sell,2023-01-06 07:24:25,Short,TRADE,-10.3501,10.9
0x19746d4c834,BTC,5869.22,159.7651,Buy,2023-01-06 08:08:06,Short,TRADE,-0.3389,10.9
0x15c8b5ad266,SOL,44561.28,18.7953,Buy,2023-01-06 08:51:47,,TRADE,28.9156,8.7
0x2309bb78553,ARB,42240.08,316.2694,Sell,2023-01-06 09:35:28,Long,TRADE,-5.7242,7.8
0x26409370328,SOL,16165.57,72.5103,Sell,2023-01-06 10:19:09,,TRADE,3.6042,15.1
0x16f6093c963,SOL,53844.95,27.56,Sell,2023-01-06 11:02:50,Short,TRADE,47.6618,6.3
0x2903fb12447,BTC,28371.45,20.7211,Sell,2023-01-06 11:46:31,Long,TRADE,10.5507,14.8
0x31d26d1b803,ETH,36234.99,48.3723,Buy,2023-01-06 12:30:12,Short,TRADE,40.6221,5.9
0x32b19c70466,BTC,15951.29,122.9774,Sell,2023-01-06 13:13:53,Short,TRADE,2.9829,2.7
0x1b1b4437537,BTC,31036.02,52.647,Sell,2023-01-06 13:57:33,Short,TRADE,3.8118,7.1
0x2695fca4578,ETH,2484.26,30.6075,Sell,2023-01-06 14:41:14,Short,TRADE,20.7182,5.9
0x2f5fef85223,ARB,13158.86,39.4124,Buy,2023-01-06 15:24:55,,TRADE,2.8039,5.6
0x18b3c417154,BTC,8618.11,112.1622,Sell,2023-01-06 16:08:36,Long,TRADE,3.4395,8.1
0x203b57d4632,ARB,11855.53,282.6879,Sell,2023-01-06 16:52:17,Short,TRADE,20.6677,8.0
0x157aa984373,ETH,5340.35,96.8538,Buy,2023-01-06 17:35:58,Long,TRADE,32.6422,11.0
0x350abd31967,BTC,18192.08,757.7177,Buy,2023-01-06 18:19:39,Short,TRADE,34.8571,12.2
0x9be15e7396,SOL,49617.51,30.7285,Buy,2023-01-06 19:03:20,Long,TRADE,-3.0249,5.0
0x16460d12139,BTC,32489.17,41.5649,Sell,2023-01-06 19:47:01,Long,TRADE,-6.3599,11.7
0x1e2ab9bd861,BTC,33548.23,175.9581,Buy,2023-01-06 20:30:42,Short,TRADE,-1.7752,12.8
0x2903fb12447,ETH,26550.92,73.9434,Sell,2023-01-06 21:14:23,Long,TRADE,4.7662,6.0
0x30d90c2f866,ETH,43398.04,352.951,Sell,2023-01-06 21:58:04,Long,TRADE,-6.7818,11.3
0xe0caaf0896,SOL,54596.55,17.615,Buy,2023-01-06 22:41:45,Long,TRADE,3.0794,6.6
0x25eb358d415,ETH,44137.7,127.4819,Buy,2023-01-06 23:25:26,Short,TRADE,20.474,10.7
0xe0caaf0896,BTC,11981.57,205.7481,Sell,2023-01-07 00:09:07,Long,TRADE,-8.7547,11.7
0x157aa984373,ETH,4857.87,10.2238,Sell,2023-01-07 00:52:48,Long,TRADE,12.9589,4.4
0x1e2ab9bd861,BTC,3477.25,18.5878,Buy,2023-01-07 01:36:29,Long,TRADE,-16.0528,12.2
0x10a45ace720,BTC,51903.76,42.7568,Buy,2023-01-07 02:20:10,Short,TRADE,32.8705,7.4
0x2fd21e9c858,BTC,23625.92,17.7377,Sell,2023-01-07 03:03:51,Short,TRADE,18.9926,7.4
0x303c8ac5542,ETH,5103.71,80.9068,Sell,2023-01-07 03:47:31,Long,TRADE,23.143,10.5
0x146d9f1a784,ARB,54764.79,204.6323,Buy,2023-01-07 04:31:12,Long,TRADE,-22.939,5.3
0x29f6e323895,BTC,23956.92,47.467,Buy,2023-01-07 05:14:53,Short,TRADE,15.2315,4.4
0x31d26d1b803,ETH,50001.59,218.9853,Buy,2023-01-07 05:58:34,Short,TRADE,35.5165,5.0
0x10a45ace720,AVAX,15426.13,26.1735,Sell,2023-01-07 06:42:15,Long,TRADE,-40.3932,4.8
0x21d5539d175,ETH,14746.95,34.9462,Buy,2023-01-07 07:25:56,Long,TRADE,50.6763,23.5
0x30912bf7585,SOL,58478.8,39.6093,Sell,2023-01-07 08:09:37,,TRADE,15.8189,11.3
0x373fd73f147,BTC,14421.75,69.9729,Sell,2023-01-07 08:53:18,Long,TRADE,13.7564,6.4
0x27d8c51c188,BTC,54198.26,12.4632,Buy,2023-01-07 09:36:59,Short,TRADE,13.7565,3.6
0x2fd21e9c858,BTC,24116.41,15.6827,Buy,2023-01-07 10:20:40,Long,TRADE,-47.8378,5.1
0x138515c8784,BTC,15239.96,13.1343,Sell,2023-01-07 11:04:21,Short,TRADE,0.7948,4.2
0x2ba0388c680,BTC,29051.21,119.3244,Sell,2023-01-07 11:48:02,Long,TRADE,-8.0895,18.9
0xe7803c4817,BTC,17913.99,134.7704,Sell,2023-01-07 12:31:43,Long,TRADE,0.403,3.9
0x1e9090d7766,SOL,2249.23,2.1661,Sell,2023-01-07 13:15:24,Short,TRADE,-12.956,1.9
0x3ad8cd12483,SOL,9489.59,646.2693,Sell,2023-01-07 13:59:05,Short,TRADE,-38.5628,5.0
0x1e604bfb894,ETH,8085.95,8.6008,Buy,2023-01-07 14:42:46,Long,TRADE,-55.8148,6.6
0x10eba987919,ARB,29662.38,265.9963,Sell,2023-01-07 15:26:27,Long,TRADE,10.9195,6.2
0x373fd73f147,BTC,13863.63,319.3228,Buy,2023-01-07 16:10:08,Long,TRADE,-12.8653,6.6
0x3371e850724,BTC,6581.89,352.9322,Buy,2023-01-07 16:53:48,Short,TRADE,-13.5471,3.2
0xa789f9d571,SOL,1259.22,41.2756,Buy,2023-01-07 17:37:29,Short,LIQUIDATION,16.8274,12.0
0x1b1b4437537,ETH,11772.56,102.6788,Sell,2023-01-07 18:21:10,Short,TRADE,1.7249,3.7
0x138515c8784,ETH,46713.86,72.0985,Buy,2023-01-07 19:04:51,Short,TRADE,-0.3277,9.5
0xc1f22ef193,SOL,46279.95,784.6881,Buy,2023-01-07 19:48:32,Long,TRADE,26.7155,3.4
0x14058da4819,ETH,56243.9,65.4918,Sell,2023-01-07 20:32:13,Long,TRADE,31.9365,5.8
0x1e604bfb894,SOL,38301.54,475.9428,Sell,2023-01-07 21:15:54,Short,TRADE,32.1128,4.1
0x2903fb12447,BTC,17618.16,26.6587,Sell,2023-01-07 21:59:35,Long,TRADE,-18.7067,9.7
0x39503642587,SOL,33280.43,42.6334,Sell,2023-01-07 22:43:16,Short,TRADE,22.9433,4.8
0x30d083e7480,AVAX,23680.66,62.6568,Sell,2023-01-07 23:26:57,Long,TRADE,-20.3923,3.6
0x10b23028789,SOL,6314.23,92.0696,Sell,2023-01-08 00:10:38,Long,TRADE,14.4556,10.2
0x2fd8183d373,ARB,9851.67,84.4023,Sell,2023-01-08 00:54:19,Long,TRADE,-12.9988,2.2
0x2309bb78553,BTC,42738.64,44.1769,Sell,2023-01-08 01:38:00,Short,TRADE,1.6932,8.6
0x369b09e0359,SOL,58015.71,7.1448,Buy,2023-01-08 02:21:41,Short,TRADE,6.9259,7.2
0x73592fd678,BTC,40019.93,19.762,Buy,2023-01-08 03:05:22,Short,TRADE,1.6957,21.4
0x9be15e7396,BTC,40447.67,174.4758,Sell,2023-01-08 03:49:03,Short,TRADE,14.3613,8.4
0x2cfac714738,ETH,48209.14,258.3073,Buy,2023-01-08 04:32:44,Long,TRADE,-81.454,10.8
0x2f5fef85223,ETH,47204.8,64.0687,Sell,2023-01-08 05:16:25,Long,TRADE,-11.8383,4.0
0x23826de5122,BTC,42340.79,34.051,Sell,2023-01-08 06:00:06,,TRADE,-7.7673,5.4
0x1338b630276,BTC,48900.66,11.9241,Sell,2023-01-08 06:43:46,,TRADE,-9.0184,6.9
